CUTOUT,SEQUENCE_LENGTH,SCORE,IDX
X3_Y1_51,10,0.9811418145036209,478.0
X3_Y2_19,10,0.9811384339635637,4484.0
E2_Y4_38,10,0.9811382567091914,683.0
X3_Y4_50,10,0.98113548232913,13124.0
C3_Y5_33,10,0.9811349275836883,1151.0
E2_Y4_51,10,0.9811344218306208,19113.0
X3_Y1_48,10,0.9811329330036483,2363.0
C3_Y1_11,10,0.9811300896766129,3091.0
X3_Y5_59,10,0.9811265167624819,3345.0
E2_Y3_51,10,0.9811234616839329,15921.0
E2_Y5_9,10,0.9811135270087611,15025.0
C3_Y2_58,10,0.9811132850178447,3500.0
E1_Y2_47,10,0.9811125935611601,5730.0
X3_Y1_51,10,0.981110787144764,482.0
E2_Y3_51,10,0.9811069377898837,15929.0
E2_Y4_27,10,0.9811060370038654,20214.0
C3_Y2_58,10,0.9811045179469517,3499.0
E2_Y3_51,10,0.9811036946044608,15928.0
E2_Y1_32,10,0.981099771448785,4522.0
C3_Y5_9,10,0.9810917751325854,12330.0
X3_Y1_40,10,0.9810914653868616,7348.0
X3_Y4_60,10,0.9810899947357005,1159.0
C3_Y2_58,10,0.9810899560186677,3498.0
E1_Y2_53,10,0.9810896771462769,7387.0
E2_Y3_43,10,0.9810896094009312,10587.0
X3_Y3_37,10,0.9810886015280663,7958.0
E1_Y2_43,10,0.9810781883966598,18965.0
E2_Y3_1,10,0.9810776179827415,14260.0
E2_Y5_14,10,0.9810732702075652,478.0
X3_Y5_51,10,0.9810710246385889,780.0
C3_Y5_9,10,0.981069752426413,12329.0
E2_Y4_7,10,0.9810676308427733,15603.0
C3_Y2_58,10,0.9810664070552734,3497.0
X3_Y1_51,10,0.9810653453456744,479.0
X3_Y5_59,10,0.981059115574518,3344.0
C3_Y2_58,10,0.9810588118937058,3496.0
X3_Y4_13,10,0.9810586332863188,772.0
X3_Y1_40,10,0.9810568294907972,7345.0
C3_Y4_28,10,0.9810546910086676,2645.0
X3_Y3_51,10,0.9810521792648219,695.0
X3_Y1_40,10,0.9810513032872252,7347.0
C3_Y5_32,10,0.9810502704545528,5071.0
E1_Y1_41,10,0.9810483796024774,5098.0
E2_Y3_55,10,0.981034756259465,14596.0
E2_Y4_38,10,0.9810332366253912,685.0
